Id;Name;Lage;Areacode;Abk.;Abk.;Raw;TextResBaseId;AnzText;PhotoFilename / GLI-Filename;AnzPhoto;Einwohner Stadt;Breite (X);Höhe (Y);Breite (X);Höhe (Y);Miete;NewInAddOn
214;Tirana;South-East Europe;1;TIA;TIA;-;0;0;NOCITY;0;800000;19,8;-41,3;19,8;-41,3;7000;1
117;Tokyo;East Asia;4;TOK;NRT;tok;2170;1;TOKYO1;1;8087000;139,4;-35,8;133;-35,8;81000;0
239;Tripoli;North Africa;3;TIP;TIP;-;0;0;NOCITY;0;1126000;13,2;-32,9;13,2;-32,9;10000;1
132;Tunisia;North Africa;2;TUN;TUN;tun;2320;1;TUNIS1;1;674000;10;-35;10;-35;7000;0
320;Ulaanbaatar;Far East;4;ULN;ULN;-;0;0;NOCITY;0;1466000;106,9;-47,9;106,9;-47,9;7000;1
218;Valletta;South Europe;1;MLA;MLA;-;0;0;NOCITY;0;213000;14,5;-35,9;14,5;-35,9;9000;1
146;Vancouver;North America;2;VAN;YVR;vanc;2460;1;NOCITY;0;471000;-123;-49;-121;-41;5000;0
226;Venice;South Europe;1;VCE;VCE;-;0;0;NOCITY;0;260000;12,3;-45,4;12,3;-45,4;14000;1
276;Victoria;East Africa;3;SEZ;SEZ;-;0;0;NOCITY;0;28000;55,5;4,6;55,5;4,6;8000;1
124;Vienna;Mid Europa;1;WIE;VIE;wien;2240;1;WIEN1;1;1539000;16,2;-47;16,2;-47;15000;0
312;Vientiane;Far East;4;VTE;VTE;-;0;0;NOCITY;0;820000;102,6;-18;102,6;-18;6000;1
209;Vilnius;North Europe;1;VNO;VNO;-;0;0;NOCITY;0;580000;25,3;-54,7;25,3;-54,7;8000;1
127;Warsaw;Mid Europe;1;WAR;WAW;war;2270;1;NOCITY;0;1642000;21;-52,5;21;-52,5;16000;0
174;Wellington;Australia       ;4;WEL;WLG;-;2740;1;NOCITY;0;164000;169,4;41,7;164,4;41,7;1000;2
251;Windhoek;Southern Africa;3;WDH;WDH;-;0;0;NOCITY;0;430000;17,1;22,6;17,1;22,6;7000;1
280;Yamoussoukro;West Africa;3;ASK;ASK;-;0;0;NOCITY;0;280000;-5,3;-6,8;-5,3;-6,8;7000;1
221;Yerevan;East Europe;1;EVN;EVN;-;0;0;NOCITY;0;1090000;44,5;-40,2;44,5;-40,2;8000;1
206;Zagreb;Mid Europa;1;ZAG;ZAG;-;0;0;NOCITY;0;800000;16;-45,8;16;-45,8;9000;1
150;Zurich;Mid Europa;1;ZUR;ZRH;zuer;2500;1;NOCITY;0;353000;9;-48,2;9;-48,2;12000;0
